#,company_name,substance_name,cas_number,company_id
5561,S. Goldmann GmbH & Co. KG,N-Methyl Pyrrolidone,872-50-4,61702
5562,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Methyl Pyrrolidone,872-50-4,17191
5563,Cenik Chemicals,N-Methyl-Ss-Alanine Nitril,693-05-0,26063
5564,Cenik Chemicals,"N,N,4-Trimethylbenzenemethanamine",4052-88-4,26063
5565,Cenik Chemicals,"N,N-Bis(2-hydroxyethyl)glycine",150-25-4,26063
5566,Cenik Chemicals,"N,N-Bis(3-Aminopropyl)-1,3-Propanediamine",4605-14-5,26063
5567,Cenik Chemicals,"N,N'-Bis-Boc-1-Guanylpyrazol",152120-54-2,26063
5568,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N'-Bis-Boc-1-Guanylpyrazol",152120-54-2,17191
5569,Cenik Chemicals,N-(n-Butyl) Thiophosphoric Triamide (NBPT),94317-64-3,26063
5570,S. Goldmann GmbH & Co. KG,N-(n-Butyl) Thiophosphoric Triamide (NBPT),94317-64-3,61702
5571,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N-Diallylnicotinamide",349096-77-1,17191
5572,Cenik Chemicals,"N,N-Dibenzylhydroxylamine",621-07-8,26063
5573,Cenik Chemicals,"N,N-Dibutylformamide",761-65-9,26063
5574,Cenik Chemicals,"N,N-Diethyl-2-Phenylacetamide",2431-96-1,26063
5575,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N-Diethyl-9H-Purin-2-Amine",5167-17-9,17191
5576,Cenik Chemicals,"(N,N-diethylaniline)trihydroboron",13289-97-9,26063
5577,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N-Diethyl Cyano Acetamide",26391-06-0,17191
5578,Cenik Chemicals,"N,N-Diethylhydroxylamine",3710-84-7,26063
5579,Cenik Chemicals,"N,N-Diethylnipecotamide",3367-95-1,26063
5580,Cenik Chemicals,"N,N-Diisopropylethylamine",7087-68-5,26063
5581,Cenik Chemicals,"N,N'-Dimethyl-1,2-Ethanediamine",110-70-3,26063
5582,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N'-Dimethyl-1,2-Ethanediamine",110-70-3,17191
5583,Cenik Chemicals,"N,N'-Dimethyl-1,3-Propanediamine",111-33-1,26063
5584,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N'-Dimethyl-1,3-Propanediamine",111-33-1,17191
5585,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N-Dimethyl-2-Phenylethylamine Hydrochloride，",10275-21-5,17191
5586,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N-Dimethyl-4-Vinylaniline",2039-80-7,17191
5587,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N-Dimethyl-5H-Purin-2-Amine",37432-21-6,17191
5588,Cenik Chemicals,"N,N-Dimethylacrylamide",2680-03-7,26063
5589,Cenik Chemicals,"N,N-Dimethylformamide",68-12-2,26063
5590,Chemist EU,"N,N-Dimethylformamide",68-12-2,60558
5591,HRS KİMYA,"N,N-Dimethylformamide",68-12-2,62013
5592,Mikro Teknik Kimyevi Maddeler Lab. Malz. Cihazları San. ve Tic. Ltd Sti.,"N,N-Dimethylformamide",68-12-2,19413
5593,NOVİNİ KİMYA LİMİTED ŞİRKETİ,"N,N-Dimethylformamide",68-12-2,62443
5594,Cenik Chemicals,"N,N-Dimethylglycine",1118-68-9,26063
5595,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N-Dimethylguanosine",2140-67-2,17191
5596,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N-Dimethyl-N-phenylethylamine",1126-71-2,17191
5597,Cenik Chemicals,"N,N-Dimethyl-p-toluidine",99-97-8,26063
5598,"Zhejiang ZETian Fine Chemicals Co.,Ltd","N,N-Dimethyl-p-toluidine",99-97-8,17191
5599,Cenik Chemicals,"N,N-Dimethyl-Tert-Butylamine",918-02-5,26063
5600,Cenik Chemicals,"N,N′-Di-Tert-Butylethylenediamine",4062-60-6,26063
5601,Cenik Chemicals,"N,N'-methanetetraylbis(1-methylethylamine)",693-13-0,26063
5602,Cenik Chemicals,"N,N''-Methylenebis[N'-[3-(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl]urea]",39236-46-9,26063
5603,Adakem Chemicals Ltd,"N,N'-Methylenediacrylamide",110-26-9,38275
5604,Cenik Chemicals,"N,N'-Methylenediacrylamide",110-26-9,26063
5605,Cenik Chemicals,"N,N,N',N'-Tetrakis(2-hydroxyethyl)adipamide",6334-25-4,26063
