,Spieler,Tore,Torvorlage,Progressive Pässe,Rückpässe,seitliche Pässe,lange Pässe,kurze Pässe,Dribbeln,Grätschen,Abfangen,Zweikämpfe,Blocks,Schüsse,Ballberührungen im 16er,erlittene Fouls,Flanken,clevere Pässe,Progressive Läufe,Besschleunigungen,erhaltene Pässe,Angriffsläufe,Fouls,Kmeans_4_clusters,Kmeans_8_clusters,k_medions_4_clusters,k_medions_8_clusters,Hierarchical_clustering_4_clusters,Hierarchical_clustering_8_clusters
99,J. Dilrosun,0.880205489,0.608524046,-0.559379666,-0.127571483,-0.735616345,-0.27922703,-0.857731309,1.442827851,-1.392832972,0.299412995,-0.1373332,-1.042554489,0.365205997,0.50715132,0.064975291,0.89779258,0.439290869,1.757314628,1.660859424,-0.841035049,-0.211551977,-2.004501986,2,3,1,7,1,5
100,M. Pongracic,0.383537205,-0.76218256,1.256602068,-1.145210701,1.362467385,1.426221707,0.963897045,-0.70961708,-0.030587121,0.48802515,-0.378925544,1.316464775,-0.927626495,-0.950985184,-0.912769616,-1.481641438,-0.774060929,0.13895314,-0.79071019,0.709723267,-1.589372685,0.529200489,0,5,2,6,2,2
101,N. Stark,-0.423548756,-0.76218256,1.147656477,-1.442174507,0.60113838,1.226066132,0.475013021,-1.841960164,0.62159855,0.705211551,-0.919621931,1.453612469,-0.803277695,-0.6082786,-1.240472198,-1.299361611,-0.488210242,-0.635521984,0.004812793,0.351794628,-0.601839568,0.223231558,0,5,2,6,2,2
102,A. Lookman,-0.733966433,-0.76218256,-0.391363292,0.906950909,-0.029974889,-1.093438344,0.093346424,1.262762832,-1.392832972,-1.1088545,1.382439037,-1.042554489,0.829185331,1.03227431,-0.076052932,1.061443287,0.405940416,1.880980235,1.341202784,-0.03423422,2.561091685,1.676084681,2,3,3,7,1,5
103,M. Cuisance,1.00437256,-0.76218256,0.231051813,1.10617149,1.153254034,-0.335803204,1.018279039,1.376860551,2.691433116,0.126075193,0.205307142,0.286233023,1.995239475,0.449223393,-0.34311826,-0.026607409,2.485103508,0.382854734,0.019431263,1.212972202,1.318779125,2.607881388,2,6,3,3,1,5
104,L. Augustinsson,-0.733966433,0.186768167,0.495372933,0.463479015,-0.203895324,0.781279367,-0.08935102,-0.514629977,-0.105323415,0.602615354,0.143295733,0.994476424,-0.945907468,-0.426194204,0.049607101,1.565546217,-1.008222035,0.570138108,0.788039549,0.183511658,-0.802856548,0.798349605,3,4,0,2,0,6
105,V. Grifo,0.569787812,3.666254166,-0.222104026,0.874431296,-0.008103274,0.185706623,0.022994592,1.13793129,-1.392832972,-0.40968872,-0.086138444,-0.529523067,1.42000418,0.705965013,-0.653464306,0.675975216,1.143961891,0.597114962,0.676110581,0.017396677,1.093691073,-1.709213162,2,0,3,7,1,3
106,D. Sow,-0.423548756,0.713963016,0.22807341,0.616127646,0.519478794,0.409865944,0.325810528,-0.391362089,0.042629007,0.569890367,0.467226773,-0.529523067,0.090211507,-0.150085044,1.081904815,0.374964157,-0.105468254,-0.403091659,-0.177083155,0.159650973,-0.881520767,1.150194037,3,1,0,0,0,0
107,C. Günter,-0.36146522,1.873791682,0.156658904,0.12353945,-0.138119758,0.756247815,-0.538815092,0.070677221,-1.149284242,-0.855381473,-1.55785029,-0.061162075,-0.111542099,0.019875609,-0.770554652,1.863686916,-0.465593397,0.884950062,1.241130221,0.187746404,0.156728454,-1.251967625,3,4,3,2,1,5
108,J. Zirkzee,6.095222467,-0.76218256,-1.603712853,0.479486803,-1.615474561,-2.425294052,-1.098544964,-0.572340017,-0.055327211,-1.22705424,-0.844601023,-1.042554489,1.764736479,1.702622538,-0.912769616,-0.643482984,0.030928202,-1.086632738,-0.97397999,-0.802865853,1.263934026,-1.354996386,1,2,1,1,3,1
